date_time,available_spots
2017-09-21,112
2017-09-22,120
2017-09-23,135
2017-09-24,128
2017-09-25,108
2017-09-26,114
2017-09-27,117
2017-09-28,110
2017-09-29,117
2017-09-30,143
2017-10-01,139
2017-10-02,115
2017-10-03,107
2017-10-04,115
2017-10-05,109
2017-10-06,116
2017-10-07,135
2017-10-08,125
2017-10-09,116
2017-10-10,121
2017-10-11,124
2017-10-12,122
2017-10-13,125
2017-10-14,121
2017-10-15,112
2017-10-16,96
2017-10-17,111
2017-10-18,120
2017-10-19,125
2017-10-20,126
2017-10-21,121
2017-10-22,7
2017-10-23,90
2017-10-24,128
2017-10-25,139
2017-10-26,122
2017-10-27,115
2017-10-28,87
2017-10-29,21
2017-10-30,61
2017-10-31,150
2017-11-01,157
2017-11-02,160
2017-11-03,125
2017-11-04,134
2017-11-05,130
2017-11-06,112
2017-11-07,115
2017-11-08,117
2017-11-09,133
2017-11-10,160
2017-11-11,148
2017-11-12,151
2017-11-13,123
2017-11-14,115
2017-11-15,124
2017-11-16,123
2017-11-17,129
2017-11-18,126
2017-11-19,140
2017-11-20,131
2017-11-21,123
2017-11-22,144
2017-11-23,160
2017-11-24,152
2017-11-25,129
2017-11-26,121
2017-11-27,119
2017-11-28,122
2017-11-29,124
2017-11-30,123
2017-12-01,121
2017-12-02,104
2017-12-03,102
2017-12-04,111
2017-12-05,131
2017-12-06,125
2017-12-07,125
2017-12-08,130
2017-12-09,136
2017-12-10,120
2017-12-11,114
2017-12-12,128
2017-12-13,127
2017-12-14,123
2017-12-15,131
2017-12-16,149
2017-12-17,142
2017-12-18,122
2017-12-19,124
2017-12-20,128
2017-12-21,132
2017-12-22,143
2017-12-23,145
2017-12-24,137
2017-12-25,142
2017-12-26,144
2017-12-27,138
2017-12-28,141
2017-12-29,147
2017-12-30,149
2017-12-31,137
2018-01-01,146
2018-01-02,131
2018-01-03,124
2018-01-04,125
2018-01-05,125
2018-01-06,142
2018-01-07,130
2018-01-08,107
2018-01-09,123
2018-01-10,123
2018-01-11,118
2018-01-12,125
2018-01-13,138
2018-01-14,118
2018-01-15,147
2018-01-16,115
2018-01-17,118
2018-01-18,119
2018-01-19,126
2018-01-20,138
2018-01-21,134
2018-01-22,114
2018-01-23,116
2018-01-24,117
2018-01-25,118
2018-01-26,126
2018-01-27,132
2018-01-28,121
2018-01-29,110
2018-01-30,124
2018-01-31,118
2018-02-01,115
2018-02-02,129
2018-02-03,130
2018-02-04,127
2018-02-05,114
2018-02-06,119
2018-02-07,119
2018-02-08,116
2018-02-09,127
2018-02-10,137
2018-02-11,124
2018-02-12,114
2018-02-13,120
2018-02-14,118
2018-02-15,117
2018-02-16,133
2018-02-17,126
2018-02-18,98
2018-02-19,122
2018-02-20,117
2018-02-21,119
2018-02-22,117
2018-02-23,115
